cuenta_id,fecha,transaccion,monto,descripcion
101,2024-01-01,deposito,1000,Ingreso mensual
101,2024-03-15,retiro,-500,Retiro parcial
102,2024-05-22,deposito,1500,Ingreso mensual
103,2024-07-10,deposito,2000,Ingreso mensual
104,2024-09-05,compra,-100,Compra en tienda
105,2024-10-01,deposito,2500,Ingreso extra
106,2024-11-20,deposito,3000,Ingreso mensual
107,2024-12-25,deposito,0,Ingreso navideño
108,2024-12-31,deposito,2000,Ingreso de fin de año
109,2024-02-14,deposito,5000,Bono San Valentín
110,2024-04-01,retiro,-2000,Retiro de emergencia
111,2024-06-15,deposito,3500,Ingreso semestral
112,2024-08-20,compra,-150,Compra online
113,2024-10-31,deposito,1800,Bono Halloween
114,2024-12-01,retiro,-800,Retiro navideño
115,2024-01-15,deposito,4000,Ingreso inicial
